#Time, 1: Suscep Indv, 2: No. Exp Indv, 3: No. Inf Indv, 4: No. Cont Indv, 5: No. Rec Indv, 6: No. Dead Indv, 7: Sev Cases, 8: Hosp Cases, 9:Q Sev Cases, 10: QNS Cases 
8.400050750777924691e+01,3.577000000000000000e+03,6.100000000000000000e+02,2.061000000000000000e+03,7.700000000000000000e+02,3.495000000000000000e+03,2.570000000000000000e+02,1.238000000000000000e+03,6.000000000000000000e+00,9.770000000000000000e+02,2.340000000000000000e+02
8.500069837954401919e+01,3.551000000000000000e+03,5.930000000000000000e+02,2.039000000000000000e+03,7.580000000000000000e+02,3.555000000000000000e+03,2.620000000000000000e+02,1.229000000000000000e+03,6.000000000000000000e+00,9.710000000000000000e+02,2.320000000000000000e+02
8.600047926334381998e+01,3.532000000000000000e+03,5.750000000000000000e+02,2.027000000000000000e+03,7.480000000000000000e+02,3.600000000000000000e+03,2.660000000000000000e+02,1.230000000000000000e+03,6.000000000000000000e+00,9.760000000000000000e+02,2.250000000000000000e+02
8.700062340457459698e+01,3.509000000000000000e+03,5.670000000000000000e+02,1.997000000000000000e+03,7.350000000000000000e+02,3.652000000000000000e+03,2.750000000000000000e+02,1.212000000000000000e+03,6.000000000000000000e+00,9.650000000000000000e+02,2.240000000000000000e+02
8.800024480952446027e+01,3.482000000000000000e+03,5.590000000000000000e+02,1.974000000000000000e+03,7.290000000000000000e+02,3.702000000000000000e+03,2.830000000000000000e+02,1.206000000000000000e+03,6.000000000000000000e+00,9.600000000000000000e+02,2.240000000000000000e+02
8.900038526089022639e+01,3.453000000000000000e+03,5.450000000000000000e+02,1.951000000000000000e+03,7.230000000000000000e+02,3.760000000000000000e+03,2.910000000000000000e+02,1.189000000000000000e+03,6.000000000000000000e+00,9.470000000000000000e+02,2.220000000000000000e+02
9.000092439332205174e+01,3.433000000000000000e+03,5.350000000000000000e+02,1.935000000000000000e+03,7.170000000000000000e+02,3.800000000000000000e+03,2.970000000000000000e+02,1.177000000000000000e+03,6.000000000000000000e+00,9.410000000000000000e+02,2.180000000000000000e+02
9.100210023347302979e+01,3.416000000000000000e+03,5.120000000000000000e+02,1.906000000000000000e+03,7.100000000000000000e+02,3.861000000000000000e+03,3.050000000000000000e+02,1.166000000000000000e+03,6.000000000000000000e+00,9.260000000000000000e+02,2.090000000000000000e+02
9.200120783230612176e+01,3.394000000000000000e+03,4.980000000000000000e+02,1.884000000000000000e+03,7.030000000000000000e+02,3.908000000000000000e+03,3.160000000000000000e+02,1.146000000000000000e+03,6.000000000000000000e+00,9.110000000000000000e+02,2.080000000000000000e+02
9.300039659322138164e+01,3.382000000000000000e+03,4.820000000000000000e+02,1.865000000000000000e+03,6.960000000000000000e+02,3.950000000000000000e+03,3.210000000000000000e+02,1.137000000000000000e+03,6.000000000000000000e+00,9.070000000000000000e+02,2.080000000000000000e+02
9.400124451404073511e+01,3.356000000000000000e+03,4.740000000000000000e+02,1.850000000000000000e+03,6.890000000000000000e+02,3.997000000000000000e+03,3.230000000000000000e+02,1.132000000000000000e+03,6.000000000000000000e+00,9.030000000000000000e+02,2.060000000000000000e+02
